time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/approx_kl,train/learning_rate,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction
1380,396.64585531999995,37,999.74,54,176128,0.1513037,0.0003,2.370248317718506,0.2,0.04191367656021612,0.7322342991828918,0.9111202359199524,850,-3.194510404020548,18.513363337144256,0.57841796875
1417,403.2770729900001,38,999.74,54,178176,0.16523722,0.0003,1.8647582530975342,0.2,0.02517109512409661,0.732578694820404,0.8119869232177734,860,-3.209567732363939,14.466820103675127,0.563720703125
1454,404.13374503000006,39,999.74,54,180224,0.21347994,0.0003,0.5269705653190613,0.2,0.031154909420001785,0.7312653660774231,0.7299371361732483,870,-3.2058881521224976,12.044737212732434,0.58876953125
1491,405.51822134,40,999.74,54,182272,0.15395802,0.0003,1.251798152923584,0.2,0.019455216254573315,0.7302680015563965,0.8749756813049316,880,-3.199379561841488,10.7206658186391,0.552490234375
1529,408.61836418000007,41,999.74,54,184320,0.114778675,0.0003,1.4156590700149536,0.2,0.018186901723674966,0.731530487537384,0.9622642397880554,890,-3.1967176400125026,4.9896523268893365,0.5291015625
3310,411.87371492,42,999.74,25,186368,0.20203075,0.0003,0.4505172073841095,0.2,0.02864610874094069,0.733361542224884,0.9081010818481445,900,-3.2033521868288517,4.937355883792042,0.576611328125
3344,410.54602620000003,43,999.74,26,188416,0.122106984,0.0003,0.7022666335105896,0.2,0.02967308673833031,0.7368659377098083,0.8753085732460022,910,-3.2141323506832125,9.27201664764434,0.541943359375
3382,415.41347865999995,44,999.74,26,190464,0.13327113,0.0003,0.209400475025177,0.2,0.00461038759094663,0.7327000498771667,0.9540214538574219,920,-3.2280740179121494,3.209771151095629,0.4869140625
3428,417.4001665099999,45,999.74,26,192512,0.11983999,0.0003,0.7299433946609497,0.2,0.019696170212409925,0.7392081618309021,0.8075495958328247,930,-3.229688708484173,13.489857934042812,0.556201171875
3469,413.09884836000003,46,998.95,27,194560,0.12622342,0.0003,0.4891223907470703,0.2,0.005709587542514783,0.7473111748695374,0.9271121025085449,940,-3.258247232437134,4.74925620239228,0.5216796875
3510,416.9895347100001,47,998.95,27,196608,0.5370411,0.0003,0.8090612292289734,0.2,0.0016328018209605943,0.7486441731452942,0.895233154296875,950,-3.277117395401001,10.989340876601636,0.501416015625
3550,414.3897458200001,48,998.95,27,198656,0.07674758,0.0003,0.653802216053009,0.2,0.02257398570582154,0.7514135837554932,0.42327243089675903,960,-3.2887212336063385,4.468691706284881,0.53134765625
3592,407.91606781,49,998.95,27,200704,0.10736574,0.0003,0.7849996089935303,0.2,0.004559975303709507,0.7520200610160828,0.8802071213722229,970,-3.2917574256658555,4.549610753357411,0.4765625
25,414.0187698800001,1,998.95,79,202752,0.10443278,0.0003,0.4322759807109833,0.2,0.01866079683386488,0.7451069355010986,0.7758074402809143,980,-3.2734929010272027,4.428309463150799,0.49306640625
70,415.03588222999997,2,998.95,58,204800,0.08473086,0.0003,0.3218308687210083,0.2,0.002929447243514005,0.7491070628166199,0.9420772790908813,990,-3.262916775047779,4.005091090500355,0.496630859375
112,415.49525283,3,998.95,54,206848,0.076461546,0.0003,0.377288818359375,0.2,0.008610793546540662,0.744236946105957,0.9180423617362976,1000,-3.260472268611193,2.486003728862852,0.51357421875
157,420.86024255000007,4,998.95,52,208896,0.17093194,0.0003,0.5209436416625977,0.2,0.007975753743085078,0.7478907108306885,0.9457623362541199,1010,-3.2554036676883698,3.5385720057412984,0.536962890625
202,421.02192974999997,5,994.95,50,210944,0.0946687,0.0003,0.48001599311828613,0.2,-0.005694792138820048,0.7531493306159973,0.9227710366249084,1020,-3.2734685495495794,4.085917198471725,0.4818359375
247,418.25514231999995,6,994.95,49,212992,0.46990335,0.0003,1.008254051208496,0.2,0.0043931706110015515,0.746537446975708,0.8087085485458374,1030,-3.274499047547579,11.829342470504344,0.538330078125
279,411.13744683,7,994.95,51,215040,0.15208212,0.0003,0.5787234902381897,0.2,-0.003379514758125879,0.7430046200752258,0.9368995428085327,1040,-3.2560552902519704,4.649496946949512,0.5650390625
311,404.37049536,8,994.95,52,217088,0.19554766,0.0003,0.12607115507125854,0.2,0.011874033970525489,0.7418162226676941,0.9692508578300476,1050,-3.240004479140043,1.524981839209795,0.618701171875
343,395.25090416,9,994.95,53,219136,0.25707296,0.0003,0.08304847031831741,0.2,-0.0116276212662342,0.7347844243049622,0.9689295291900635,1060,-3.2276018127799033,1.3796121759572997,0.522802734375
374,388.47625507,10,994.95,54,221184,0.21028869,0.0003,0.027168866246938705,0.2,-0.0011184891700395383,0.7438252568244934,0.928715705871582,1070,-3.231243289262056,2.1214277166174726,0.533984375
413,370.23988911999993,11,979.78,54,223232,0.112368524,0.0003,0.3390248119831085,0.2,0.019999436644866364,0.7557823657989502,0.9569560885429382,1080,-3.2608911246061325,1.8674580060411246,0.46572265625
456,358.52347276,12,980.04,53,225280,1.23282,0.0003,0.3528994619846344,0.2,-0.004446498212200822,0.7604787945747375,0.8853799104690552,1090,-3.2868081837892533,9.691679197037592,0.574658203125
497,354.5084863300001,13,980.04,53,227328,0.41325507,0.0003,0.03573731333017349,0.2,0.016315189651504625,0.765603244304657,0.8812635540962219,1100,-3.3269301295280456,1.4344624920515343,0.639453125
538,344.0752435600001,14,980.04,53,229376,0.13684678,0.0003,0.12903428077697754,0.2,0.02298213449685136,0.7727317810058594,0.952775239944458,1110,-3.336780711263418,2.337598460353911,0.523779296875
580,340.37982081,15,980.04,52,231424,0.103828214,0.0003,0.4799647927284241,0.2,0.014329654330504126,0.7722086310386658,0.9736060500144958,1120,-3.347981888055801,3.108240281092003,0.46865234375
